Company,Year,Revenue ($M),Fee Revenue ($M),Adj. EBITDA ($M),Adj. EPS,Net Income ($M)
Marriott,2022,20770,3852,3862,6.91,2358
Marriott,2023,23710,4762,4650,9.99,3080
Marriott,2024,25100,5143,4981,9.33,2370
Marriott,2025,26190,5400,5383,10.02,2601
Hilton,2022,8773,2042,2599,4.89,1257
Hilton,2023,10235,2383,3089,6.21,1151
Hilton,2024,11174,2600,3429,7.12,1539
Hilton,2025,12039,2793,3725,8.11,1461
Hyatt,2022,5891,920,908,3.28,455
Hyatt,2023,6667,1030,1029,2.56,220
Hyatt,2024,6648,1099,1096,3.66,1296
Hyatt,2025,7100,1198,1159,2.19,-52
IHG,2022,4000,1434,896,2.82,450
IHG,2023,4624,1672,1086,3.76,748
IHG,2024,4920,1795,1189,4.32,628
IHG,2025,5190,1897,1332,5.01,774
Accor,2022,4435,1058,882,1.56,422
Accor,2023,5460,1404,1083,2.52,684
Accor,2024,6054,1503,1210,2.22,599
Accor,2025,5639,1523,1201,2.10,621
